"Gene_ID","Gene_Symbol","SRR27553658","SRR27553659","SRR27553660","SRR27553661","SRR27553662","SRR27553663","SRR27553664","SRR27553665","SRR27553666","SRR25482874","SRR25482875","SRR25482876","SRR25482877","SRR25482878","SRR25482879","SRR25482880","SRR25482881"
"ENSOMYG00000033765","",1.843522,1.769161,1.955748,1.037409,2.119069,1.769617,3.771898,1.805201,2.869525,0,0,0.314781,1.046989,0.543796,0.668796,1.146442,0
"ENSOMYG00000033766","arrdc3a",66.679955,50.18116,54.710144,49.739937,49.942833,48.902981,65.914253,60.033817,45.007648,24.479872,23.9533,113.083336,70.937195,107.516907,80.942429,93.029793,79.759262
"ENSOMYG00000033773","",0.176939,0.23522,0.377358,0.075052,0.181132,0.120335,0,0.111111,0,0,0,0.4826,0.149266,0,0,0.251572,0
"ENSOMYG00000033775","ints12",2.426471,1.478758,2.164379,2.916667,2.065033,1.430065,3.730719,1.270588,1.598366,0.936601,0.443137,1.518627,1.905882,1.443464,1.454575,0.736601,0.063399
"ENSOMYG00000033790","",1.204239,2.241329,1.983044,1.043353,1.297592,0.741619,2.369557,1.738728,1.119846,1.745761,2.0421,3.799518,4.642389,5.856551,0.893834,1.757996,2.596725
"ENSOMYG00000033797","coq4",2.292335,2.909091,2.709447,3.345811,4.024955,3.094474,5.294117,3.090909,0.898396,8.668449,3.194296,11.165775,7.313725,12.505347,2.445633,4.024955,3.108734
"ENSOMYG00000033801","ube2j1",2.654989,3.839703,2.826964,2.447983,3.079618,6.10828,4.446921,2.991507,2.370488,3.028662,2.416136,4.376858,6.124204,4.719745,4.174098,2.316348,0
"ENSOMYG00000033804","",0.711732,0.746369,0.828678,0.277095,0.860335,1.282309,1.509497,1.134823,0.976909,0,0,0,0,0,0,0.083054,0
"ENSOMYG00000033809","plpp3",25.466223,27.719999,36.043556,19.474222,20.077778,19.020445,16.708889,26.667999,16.447111,9.079111,9.988444,14.302222,16.360001,19.32,7.688,12.456445,9.673333
"ENSOMYG00000033813","",914.679871,705.862427,1176.275146,714.497375,757.021179,682.732788,795.809509,1192.783081,889.634949,131.296295,124.613754,150.560852,152.49736,146.481476,140.333328,201.179901,166.724869
"ENSOMYG00000033822","",43.63353,51.448341,57.16082,44.077972,48.010723,51.606239,63.772903,58.072124,66.104286,7.853801,8.633529,14.216374,15.892788,12.179338,11.189084,7.450293,13.34308
"ENSOMYG00000033833","prrc1",18.998526,17.059322,18.546795,15.748342,16.409727,18.255711,24.175018,19.189388,14.750921,14.905674,10.47605,37.201916,53.360355,46.436699,22.319822,13.471628,16.687914
"ENSOMYG00000033838","ppp1r15b",21.618469,20.972422,22.963137,13.71816,15.065595,15.431784,10.198957,14.013106,9.204412,3.548379,3.961188,10.511011,7.887784,13.630412,6.25923,5.473534,6.103429
"ENSOMYG00000033846","",0,0.494248,0.282739,0,0.309519,0.485414,0.534463,0.702412,0.650629,0.681648,0.653847,1.293687,2.099389,2.210273,0.779614,0.741668,1.168063
"ENSOMYG00000033848","selenos",27.241404,20.433632,31.707016,23.30357,24.830124,27.459766,35.361244,27,24.407497,20.499311,20.851444,54.546425,51.197044,55.30846,21.870014,28.917469,23.690853
"ENSOMYG00000033850","loxl1",9.457976,12.694111,13.604918,5.016009,11.632361,8.5506,13.496856,13.160949,12.699828,0.124643,0.288736,0,0.216695,0.783306,0,0,0
"ENSOMYG00000033854","rs13",83.266815,27.691921,52.758286,58.500835,83.757042,51.211285,90.634315,99.482712,102.800552,81.738052,74.044373,158.910904,151.174347,154.136505,106.911186,120.237701,92.931938
"ENSOMYG00000033856","chmp1a",18.921568,17.57089,25.923832,19.328808,18.565611,19.371796,29.445702,24.800905,15.434389,20.484163,10.977376,34.711914,36.757919,46.766212,16.577677,22.444193,17.338612
"ENSOMYG00000033858","",0.261871,1.203808,1.856841,0.264692,1.207099,0.379408,0.937941,1.132581,0,1.074753,1.706629,3.841326,3.393512,4.261871,2.268218,1.570992,2.104137
"ENSOMYG00000033859","nopchap1",8.603448,12.607553,9.784072,3.441708,9.977422,8.41133,9.825123,8.390804,6.596881,7.085386,4.527915,9.006158,11.275041,14.655993,7.783662,8.135879,11.252873
"ENSOMYG00000033862","",0.138504,0.277008,0,0.092336,0,0,0,0.138504,0.145891,0.137581,0.540166,0,0.531856,1.183749,0.217913,0,0.262235
"ENSOMYG00000033865","",3.04621,3.291445,3.10488,2.796988,3.39737,2.636895,6.948772,3.00104,2.723429,6.965878,5.044653,3.974912,5.20436,3.414666,6.567497,5.45985,3.188642
"ENSOMYG00000033866","",0,0,0,0,1.914401,0,0,2.220544,0.959718,58.169186,54.207451,130.472305,136.383682,136.456192,89.261833,85.432022,74.234642
"ENSOMYG00000033869","gas1b",8.971069,18.275473,17.344654,12.334591,18.296856,11.789937,13.65912,13.583648,14.320755,15.768554,17.137108,29.218868,43.560143,26.540318,17.451572,19.779312,20.48884
"ENSOMYG00000033870","",0.444927,0.552948,0.603455,0.465003,0.574064,0.424762,0.517906,0.548562,0.174806,0.153825,0.18204,0.441671,0.516007,0.41219,0.210074,0.149032,0.151112
"ENSOMYG00000033871","cd276",1.349753,1.317694,4.035232,1.680154,3.547273,1.503023,2.244606,3.776526,2.98261,3.664454,6.681839,6.099291,12.009034,17.698376,6.593242,4.862602,4.789583
"ENSOMYG00000033876","",3.834288,2.044847,3.765585,1.563295,2.140585,0.906488,2.12659,1.77131,1.773219,2.213104,1.151718,7.044211,8.506361,11.087787,4.017494,2.528626,2.770356
"ENSOMYG00000033880","",1.362348,1.625506,1.033907,1.101215,1.01164,0.569838,0.843623,1.471154,0.92004,0.192814,0,0,0.668522,0.651316,0.461032,0.715081,0
"ENSOMYG00000033881","",4.408347,5.312952,10.477823,3.465381,10.174095,6.466516,6.203703,11.374607,5.035121,19.259378,12.874073,22.611883,32.309509,39.07254,26.000822,18.99832,24.178482
"ENSOMYG00000033884","",2.330807,1.570384,2.406064,2.113157,1.565782,2.166757,2.063346,2.362209,1.447753,2.754737,1.976178,3.665674,2.455874,5.349215,1.999459,1.341635,2.574445
"ENSOMYG00000033885","",1.806567,2.459672,2.271948,1.651677,2.201998,1.932191,3.471806,2.383298,2.231263,0.494647,1.345468,1.35546,3.022841,4.670235,1.309065,0.866524,0.948608
"ENSOMYG00000033887","",1.264768,1.713959,1.182845,1.364979,0.4891,1.032173,1.34353,1.534459,0.966245,2.33808,1.511955,3.530415,6.633263,7.381681,3.454641,1.734529,2.276371
